title,author,binding,in_stock,category,product_url,price_idr,original_price_idr,discount_percent
The Storytelling Book: Finding Your Golden Thread ...,"Tasgal, Anthony",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781915951809/the-storytelling-book-finding-your-golden-thread-for-more-effective-presentations-10th-anniversary-edition?path=1_13,265000.0,265000.0,0.0
A Little History of Economics,"Kishtainy, Niall",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780300283242/a-little-history-of-economics?path=1_13,285000.0,285000.0,0.0
Building a StoryBrand 2.0,"Miller, Donald",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781400251308/building-a-storybrand-2-0?path=1_13,362000.0,362000.0,0.0
The Overthinker's Guide to Making Decisions: How to...,"Nguyen, Joseph",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9798893310665/the-overthinker-s-guide-to-making-decisions-how-to-make-decisions-without-losing-your-mind?path=1_13,440000.0,440000.0,0.0
The Let Them Theory: A Life-Changing Tool That Millions...,"Robbins, Mel",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781401971366/the-let-them-theory-a-life-changing-tool-that-millions-of-people-can-t-stop-talking-about?path=1_13,598000.0,598000.0,0.0
Poor Economics: A Radical Rethinking of the Way to...,"Banerjee, Abhijit V.",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781541706187/poor-economics-a-radical-rethinking-of-the-way-to-fight-global-poverty?path=1_13,398000.0,398000.0,0.0
"How to Sell: Everything You Need to Think, Know and...","Radford, Steve",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781788608657/how-to-sell-everything-you-need-to-think-know-and-do-to-have-greater-sales-conversations?path=1_13,368000.0,368000.0,0.0
What Went Wrong With Capitalism,"Sharma, Ruchir",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781802061031/what-went-wrong-with-capitalism?path=1_13,275000.0,275000.0,0.0
Rich Dad Poor Dad: What the Rich Teach Their Kids ...,"Kiyosaki, Robert T.",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781612681139/rich-dad-poor-dad-what-the-rich-teach-their-kids-about-money-that-the-poor-and-middle-class-do-not?path=1_13,188000.0,198000.0,5.0
Reimagining Operational Excellence: Inspirations from...,"Kotler, Philip",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781394239245/reimagining-operational-excellence-inspirations-from-asia?path=1_13,455000.0,455000.0,0.0
The Making of a Manager : What to Do When Everyone...,"Zhuo, Julie",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780753562451/the-making-of-a-manager-what-to-do-when-everyone-looks-to-you?path=1_13,305000.0,305000.0,0.0
How AI Will Change Your Life: A Futurist's Guide to...,"Dixon, Patrick",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781805222576/how-ai-will-change-your-life-a-futurist-s-guide-to-a-super-smart-world?path=1_13,328000.0,328000.0,0.0
What You Do Is Who You Are,"Horowitz, Ben",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9780008740696/what-you-do-is-who-you-are?path=1_13,285000.0,285000.0,0.0
The Decision Book : Fifty models for strategic thinking...,"Tschappeler, Roman",Hardcover,1,Business & Self-Help,http://www.periplus.com/p/9781800815209/the-decision-book-fifty-models-for-strategic-thinking-new-edition?path=1_13,285000.0,285000.0,0.0
The Negotiation Book: Practical Steps to Becoming ...,"Soames, Nicole",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781915951694/the-negotiation-book-practical-steps-to-becoming-a-masterful-negotiator?path=1_13,238000.0,238000.0,0.0
The Attitude Book: 50 Ways to Positively Affect Your...,"Tyler, Simon",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781915951892/the-attitude-book-50-ways-to-positively-affect-your-work-and-life?path=1_13,238000.0,238000.0,0.0
Rich Family Smart Family: Raise Your Family's Financial...,"Kiyosaki, Robert",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781612681337/rich-family-smart-family-raise-your-family-s-financial-iq-and-take-control-of-your-future?path=1_13,420000.0,420000.0,0.0
Manage Yourself to Lead Others pb US,by Margaret C. Andrews,Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781541608894/manage-yourself-to-lead-others-pb-us?path=1_13,398000.0,398000.0,0.0
The Art of Physics : How ideas from science can transform...,"Bharmal, Zahaan",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781804186466/the-art-of-physics-how-ideas-from-science-can-transform-your-life?path=1_13,250000.0,270000.0,7.0
The Kremlin School of Negotiation,"Ryzov, Igor",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781838852917/the-kremlin-school-of-negotiation?path=1_13,395000.0,395000.0,0.0
What's Your Dream?,"Squibb, Simon",Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781529935585/what-s-your-dream?path=1_13,420000.0,420000.0,0.0
The Book of Money: How to Feel Good (or Better) about...,Monzo,Paperback,1,Business & Self-Help,http://www.periplus.com/p/9781804948668/the-book-of-money-how-to-feel-good-or-better-about-your-finances?path=1_13,260000.0,260000.0,0.0
